build_id,power_id
univ,univ_en_powatk
univ,univ_en_mobatk
univ,univ_en_empspl
univ,univ_en_sldspl
univ,univ_en_healpr
univ,univ_da_offtrn
univ,univ_da_deftrn
ftr_guard,ftr_fe_defaur
ftr_guard,ftr_aw_shlbsh
ftr_guard,ftr_aw_cleave
ftr_guard,ftr_en_hamstr
ftr_guard,ftr_en_stnstr
ftr_guard,ftr_en_stmbla
ftr_guard,ftr_da_brustr
ftr_guard,ftr_da_bladnc
ftr_guard,ftr_da_cmbstr
ftr_guard,ftr_ut_shiwll
ftr_guard,ftr_ut_grit
ftr_guard,ftr_ut_fndopn
wiz_elemt,wiz_aw_arcmss
wiz_elemt,wiz_aw_froblt
wiz_elemt,wiz_aw_lssfrb
wiz_elemt,wiz_en_burhnd
wiz_elemt,wiz_en_icebea
wiz_elemt,wiz_en_shksph
wiz_elemt,wiz_da_firebl
wiz_elemt,wiz_da_icestm
wiz_elemt,wiz_da_crufst
wiz_elemt,wiz_ut_arcsld
wiz_elemt,wiz_ut_wllice
wiz_elemt,wiz_ut_levita
rog_scoun,rog_aw_prcstk
rog_scoun,rog_aw_stpstk
rog_scoun,rog_en_kngcsl
rog_scoun,rog_en_expwkn
rog_scoun,rog_en_stydwn
rog_scoun,rog_da_blitrk
rog_scoun,rog_da_stnblw
rog_scoun,rog_da_opnwnd
rog_scoun,rog_ut_tumble
rog_scoun,rog_ut_runtcv
rog_scoun,rog_ut_indoit
rng_rules,rng_aw_bstmba
rng_bstm,rng_fe_bststk
rng_bstm,rng_aw_wlfpck
rng_bstm,rng_aw_dststk
rng_bstm,rng_aw_berast
rng_bstm,rng_aw_dbltau
rng_bstm,rng_aw_cmbadv
rng_bstm,rng_aw_cmbtac
rng_bstm,rng_en_fngbst
rng_bstm,rng_en_gfteye
rng_bstm,rng_en_escass
rng_bstm,rng_da_giagrw
rng_bstm,rng_da_procmp
rng_bstm,rng_da_blafng
rng_bstm,rng_ut_clsfrm
rng_bstm,rng_ut_cmprec
rng_bstm,rng_ut_synstp
rng_arch,rng_aw_dststk
rng_arch,rng_aw_cmbtac
rng_dual,rng_fe_offhstk
rng_dual,rng_aw_wlfpck
rng_dual,rng_aw_dbltau
rng_skrm,rng_fe_skeva
pri_light,pri_fe_heawrd
pri_light,pri_aw_healgt
pri_light,pri_aw_gudlgt
pri_light,pri_en_dzlbst
pri_light,pri_en_rstbea
pri_light,pri_en_blilgt
pri_light,pri_da_pacify
pri_light,pri_da_cnsgrn
pri_light,pri_da_herois
pri_light,pri_ut_sanctr
pri_light,pri_ut_savgra
pri_light,pri_ut_bless
pri_luck,pri_fe_heawrd
pri_luck,pri_aw_lckstk
pri_luck,pri_aw_shichc
pri_luck,pri_aw_armfor
pri_luck,pri_en_dzlbst
pri_luck,pri_en_rstbea
pri_luck,pri_en_blilgt
pri_luck,pri_da_pacify
pri_luck,pri_da_cnsgrn
pri_luck,pri_da_herois
pri_luck,pri_ut_sanctr
pri_luck,pri_ut_savgra
pri_luck,pri_ut_bless
bar_rager,bar_fe_ragstk
bar_rager,bar_aw_invstk
bar_rager,bar_aw_mgtshv
bar_rager,bar_aw_wldchr
bar_rager,bar_en_allin
bar_rager,bar_en_nopain
bar_rager,bar_en_bldwhr
bar_rager,bar_da_cwdrag
bar_rager,bar_da_bldrag
bar_rager,bar_da_stbrag
bar_rager,bar_ut_btlvig
bar_rager,bar_ut_brkfre
bar_rager,bar_ut_chlacc
wld_tac,wld_fe_heal
wld_tac,wld_aw_hirthr
wld_tac,wld_aw_abttlf
wld_tac,wld_en_12pnch
wld_tac,wld_en_sndarm
wld_tac,wld_en_allyrs
wld_tac,wld_en_pileon
wld_tac,wld_da_fllwme
wld_tac,wld_da_tmfrac
wld_tac,wld_ut_moveit
wld_tac,wld_ut_incomn
wld_tac,wld_ut_frgtit
wlk_shadow,wlk_aw_vlodrk
wlk_shadow,wlk_aw_unshrr
wlk_shadow,wlk_en_drkblt
wlk_shadow,wlk_en_hwlagn
wlk_shadow,wlk_en_soldrn
wlk_shadow,wlk_da_solfed
wlk_shadow,wlk_da_blkhle
wlk_shadow,wlk_da_shwfnd
wlk_shadow,wlk_ut_drkptl
wlk_shadow,wlk_ut_crsyou
wlk_shadow,wlk_ut_trcsdw
ori_elf,ori_elf_accur
ori_elf_hi,ori_elf_charm
ori_gnome,
ori_orc,ori_orc_smash
ori_halfl,ori_hlf_dodge
ori_dragf,ori_drf_breth
ori_devlf,ori_dvl_fshld
ori_gnome,ori_gnm_trk
ori_goblin,ori_gob_sld
ori_minot,ori_min_red
ori_gliat,ori_gol_res
ori_kbold,ori_kbl_shf
mnv_pc,mnv_mbawp
mnv_pc,mnv_rbawp
mnv_pc,mnv_rbaim
mnv_pc,mnv_secwn
mnv_pc,mnv_actio
mnv_core,mnv_walk
mnv_core,mnv_opatk
mnv_core,mnv_defns
mnv_core,mnv_shift
mnv_bas_msc,mnv_draw
mnv_bas_msc,mnv_qdraw
mnv_bas_msc,mnv_blank
mnv_bas_mov,mnv_charge
mnv_bas_mov,mnv_stnup
mnv_bas_mov,mnv_run
mnv_adv_msc,mnv_escpe
mnv_adv_msc,mnv_ftaid
mnv_adv_msc,mnv_adpot
mnv_adv_msc,mnv_rdyml
mnv_adv_msc,mnv_rdyrn
mnv_adv_msc,mnv_pierce
mnv_adv_msc,mnv_push
mnv_adv_msc,mnv_grab
mnv_adv_msc,mnv_drag
mnv_adv_msc,mnv_mnhndl
mnv_adv_mov,mnv_climb
mnv_adv_mov,mnv_swim
mnv_adv_mov,mnv_crawl
mnv_adv_mov,mnv_blnce
mnv_adv_mov,mnv_lnjmp
mnv_adv_mov,mnv_hijmp
mnv_adv_mov,mnv_drop
mnv_adv_stl,mnv_hide
mnv_adv_stl,mnv_vansh
mnv_adv_stl,mnv_sneak
mnv_adv_stl,mnv_serch
